Date,Product,Category,Region,Quantity,Price,Sales,Rating
2026-04-13,MacBook Air,Laptops,North,4,966.2,3864.8,4.3
2026-06-29,AirPods Pro,Audio,East,3,237.91,713.73,3.9
2026-04-03,Apple Watch S9,Wearables,West,2,397.02,794.04,4.3
2026-01-15,iPhone 15,Smartphones,North,4,780.01,3120.04,4.5
2026-04-17,iPad Pro,Tablets,West,4,800.31,3201.24,3.5
2026-03-13,iPad Pro,Tablets,East,3,760.89,2282.67,3.6
2026-01-21,iPhone 15,Smartphones,North,2,819.5,1639.0,4.5
2026-04-13,iPhone 15,Smartphones,North,2,829.92,1659.84,4.8
2026-05-02,iPad Pro,Tablets,East,4,740.07,2960.28,5.0
2026-03-16,AirPods Pro,Audio,West,1,233.13,233.13,3.6
2026-03-29,AirPods Pro,Audio,North,5,257.07,1285.35,3.8
2026-04-27,iPhone 15,Smartphones,East,3,806.11,2418.33,4.8
2026-04-10,iPhone 15,Smartphones,West,4,729.18,2916.72,3.7
2026-04-14,AirPods Pro,Audio,South,3,238.0,714.0,4.9
2026-06-01,iPhone 15,Smartphones,North,2,738.37,1476.74,4.3
2026-05-11,iPad Pro,Tablets,West,5,745.98,3729.9,4.6
2026-05-30,iPhone 15,Smartphones,South,5,740.53,3702.65,4.0
2026-02-22,iPad Pro,Tablets,North,1,784.12,784.12,4.3
2026-01-02,Apple Watch S9,Wearables,East,3,385.1,1155.3,4.0
2026-03-29,iPhone 15,Smartphones,West,1,742.5,742.5,4.6
2026-06-07,iPad Pro,Tablets,West,3,811.21,2433.63,3.6
2026-02-07,AirPods Pro,Audio,West,5,234.54,1172.7,4.8
2026-05-10,AirPods Pro,Audio,North,5,258.77,1293.85,4.1
2026-01-21,Apple Watch S9,Wearables,East,3,417.77,1253.31,3.6
2026-06-10,Apple Watch S9,Wearables,North,1,378.07,378.07,3.8
2026-02-27,iPhone 15,Smartphones,South,2,830.56,1661.12,3.6
2026-01-22,MacBook Air,Laptops,West,2,937.19,1874.38,3.9
2026-03-30,MacBook Air,Laptops,North,1,919.57,919.57,4.6
2026-02-18,Apple Watch S9,Wearables,South,2,407.59,815.18,4.8
2026-02-28,Apple Watch S9,Wearables,West,2,359.41,718.82,4.4
2026-06-19,AirPods Pro,Audio,North,4,257.22,1028.88,3.5
2026-01-15,MacBook Air,Laptops,South,3,968.87,2906.61,4.3
2026-06-24,Apple Watch S9,Wearables,South,2,410.6,821.2,3.9
2026-02-20,MacBook Air,Laptops,South,3,918.14,2754.42,4.3
2026-04-18,Apple Watch S9,Wearables,West,4,416.87,1667.48,4.2
2026-02-24,Apple Watch S9,Wearables,West,4,383.72,1534.88,4.5
2026-03-05,AirPods Pro,Audio,West,5,260.31,1301.55,4.6
2026-05-11,iPad Pro,Tablets,North,3,771.71,2315.13,3.6
2026-02-20,Apple Watch S9,Wearables,South,5,363.94,1819.7,4.1
2026-05-15,AirPods Pro,Audio,North,1,230.57,230.57,3.7
2026-01-21,MacBook Air,Laptops,West,1,998.03,998.03,3.9
